schoolName,districtName,agent,programme,strategic,bid,parent,description,source,programmeName,projectSize,projectStage,nature,scoa,startDate,endDate,totalCost,MTEF_2011_12,MTEF_2012_13,MTEF_2013_14,MTEF_2014_15,MTEF_2015_16,Revised_15_16_Budget,IA_Required_Budget,Variance,MTEF_2016_17,MTEF_2017_18,MTEF_2018_19,MTEF_2019_20,MTEF_2020_21,MTEF_2021_22,MTEF_2022_23,MTEF_2023_24,MTEF_2024_25,MTEF_2025_26,MTEF_2026_27,MTEF_2028_29,MTEF_2029_30,MTEF_2030_31,MTEF_2031_32,MTEF_2032_33,MTEF_2033_34,PWC_List,Snap_survey,ecplanComments
A V BUKANI PRIMARY SCHOOL,UITENHAGE,CDC,CDC ECD II,ECD COSTED,Active,ECD Centre,(missing),Educational Infrastructure Grant,Early Childhood Development,Large,Under Construction,New Infrastructure Assets,Building & other fixed structures,1-Apr-15,31-Mar-17,(missing), -   , -   ,407,"8,998","1,545","9,716","9,716", -   ,"3,480", -   ,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
AARON GQADU PRIMARY SCHOOL,PORT ELIZABETH,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ABERDEEN PRIMARY PUBLIC SCHOOL,GRAAFF-REINET,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ABERDEEN SECONDARY SCHOOL,GRAAFF-REINET,DOE,(missing),COMBINED PRIORITY,Proposed,Re-alignment,(missing),Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,New Infrastructure Assets,Building & other fixed structures,6-Apr-16,31-Mar-17,"31,829", -   , -   , -   ,(missing), -   ,(missing),(missing),(missing),"3,183", -   ,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ABERDEEN SECONDARY SCHOOL,GRAAFF-REINET,Mvula Trust,Mvula Trust Fnc,FENCING ,Approved,Norms & Standards,(missing),Educational Infrastructure Grant,Public Ordinary Schools,Large,Documentation,New Infrastructure Assets,Building & other fixed structures,1-Apr-15,31-Mar-17,988, -   , -   , -   ,(missing),296,(missing),(missing),(missing),692, -   ,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),To cancel
ABRAHAM LEVY PRIMARY SCHOOL,PORT ELIZABETH,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
WINGS AVIATION ACADEMY,FORT BEAUFORT,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ADDO PRIMARY SCHOOL,UITENHAGE,DPW,(missing),COMBINED PRIORITY,Approved,Re-alignment,(missing),Educational Infrastructure Grant,Public Ordinary Schools,Large,Documentation,New Infrastructure Assets,Building & other fixed structures,(missing),(missing),"32,696", -   , -   , -   ,(missing),"3,270",(missing),(missing), -   , -   , -   ,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),ADDO P SCHOOL,#N/A,(missing)
UMICARE REMEDIAL SCHOOL,PORT ELIZABETH,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
BLESSINGS CHRISTIAN PRIMARY LEARNING ACADEMY,PORT ELIZABETH,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ADELAIDE GYMNASIUM,FORT BEAUFORT,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ADELAIDE PRIMARY SCHOOL,FORT BEAUFORT,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ADELAIDE JUNIOR SECONDARY SCHOOL,FORT BEAUFORT,CDC,CDC ECD II,ECD COSTED,Active,ECD Centre,(missing),Educational Infrastructure Grant,Early Childhood Development,Large,Practical completion,New Infrastructure Assets,Building & other fixed structures,2-Apr-15,31-Mar-18,(missing), -   , -   ,"2,265","6,895",90,135,135, -   , -   , -   ,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ADELAIDE JUNIOR SECONDARY SCHOOL,FORT BEAUFORT,CDC,CDC COMBINED PRIORITY,COMBINED PRIORITY,Approved,Re-alignment,(missing),Educational Infrastructure Grant,Public Ordinary Schools,Large,Documentation,New Infrastructure Assets,Building & other fixed structures,(missing),(missing),"34,866", -   , -   , -   ,(missing),"3,487",(missing),(missing),(missing), -   , -   ,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),ADELAIDE P SCHOOL,ADELAIDE PRIMARY SCHOOL,(missing)
ADENDORP PRIMARY SCHOOL,GRAAFF-REINET,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ADOLPH SCHAUDER PRIMARY SCHOOL,PORT ELIZABETH,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
AEROVILLE SECONDARY SCHOOL,GRAAFF-REINET,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
AL-AZHAR PRIMARY SCHOOL,PORT ELIZABETH,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
ALEX JAYIYA PRIMARY SCHOOL,UITENHAGE,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)
MASIVUKE JUNIOR PRIMARY SCHOOL,FORT BEAUFORT,DOE,(missing),FENCING ,Proposed,Norms & Standards,(missing),Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,New Infrastructure Assets,Building & other fixed structures,29-Apr-16,31-Mar-18,905, -   , -   , -   ,(missing), -   ,(missing),(missing),(missing),272,634,(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing),(missing)